prize,year,role,author,birth_year,book,age,posthumous
Pulitzer,2011,winner,Jennifer Egan,1962,A Visit from the Goon Squad,49,False
Pulitzer,2011,nominee,Jonathan Dee,1962,The Privileges,49,False
Pulitzer,2011,nominee,Chang-rae Lee,1965,The Surrendered,46,False
Pulitzer,2012,nominee,Denis Johnson,1949,Train Dreams,63,False
Pulitzer,2012,nominee,Karen Russell,1981,Swamplandia!,31,False
Pulitzer,2012,nominee,David Foster Wallace,1962,The Pale King,50,True
Pulitzer,2013,winner,Adam Johnson,1967,The Orphan Master's Son,46,False
Pulitzer,2013,nominee,Nathan Englander,1970,What We Talk About When We Talk About Anne Frank,43,False
Pulitzer,2013,nominee,Eowyn Ivey,1973,The Snow Child,40,False
Pulitzer,2014,winner,Donna Tartt,1963,The Goldfinch,51,False
Pulitzer,2014,nominee,Philipp Meyer,1974,The Son,40,False
Pulitzer,2014,nominee,Bob Shacochis,1951,The Woman Who Lost Her Soul,63,False
Pulitzer,2015,winner,Anthony Doerr,1973,All the Light We Cannot See,42,False
Pulitzer,2015,nominee,Richard Ford,1944,Let Me Be Frank With You,71,False
Pulitzer,2015,nominee,Laila Lalami,1968,The Moor's Account,47,False
Pulitzer,2015,nominee,Joyce Carol Oates,1938,"Lovely, Dark, Deep: Stories",77,False
Pulitzer,2016,winner,Viet Thanh Nguyen,1971,The Sympathizer,45,False
Pulitzer,2016,nominee,Margaret Verble,1951,Maud's Line,65,False
Pulitzer,2016,nominee,Kelly Link,1969,Get in Trouble,47,False
Pulitzer,2017,winner,Colson Whitehead,1969,The Underground Railroad,48,False
Pulitzer,2017,nominee,Adam Haslett,1970,Imagine Me Gone,47,False
Pulitzer,2017,nominee,C.E. Morgan,1976,The Sport of Kings,41,False
Pulitzer,2018,winner,Andrew Sean Greer,1970,Less,48,False
Pulitzer,2018,nominee,Hernan Diaz,1973,In the Distance,45,False
Pulitzer,2018,nominee,Elif Batuman,1977,The Idiot,41,False
Pulitzer,2019,winner,Richard Powers,1957,The Overstory,62,False
Pulitzer,2019,nominee,Rebecca Makkai,1978,The Great Believers,41,False
Pulitzer,2019,nominee,Tommy Orange,1982,There There,37,False
Pulitzer,2020,winner,Colson Whitehead,1969,The Nickel Boys,51,False
Pulitzer,2020,nominee,Ben Lerner,1979,The Topeka School,41,False
Pulitzer,2020,nominee,Ann Patchett,1963,The Dutch House,57,False
Pulitzer,2021,winner,Louise Erdrich,1954,The Night Watchman,67,False
Pulitzer,2021,nominee,Daniel Mason,1976,A Registry of My Passage Upon the Earth,45,False
Pulitzer,2021,nominee,Percival Everett,1956,Telephone,65,False
Pulitzer,2022,winner,Joshua Cohen,1980,The Netanyahus,42,False
Pulitzer,2022,nominee,Francisco Goldman,1954,Monkey Boy,68,False
Pulitzer,2022,nominee,Gayl Jones,1949,Palmares,73,False
Pulitzer,2023,winner,Barbara Kingsolver,1955,Demon Copperhead,68,False
Pulitzer,2023,winner,Hernan Diaz,1973,Trust,50,False
Pulitzer,2023,nominee,Vauhini Vara,1982,The Immortal King Rao,41,False
Pulitzer,2024,winner,Jayne Anne Phillips,1952,Night Watch,72,False
Pulitzer,2024,nominee,Yiyun Li,1972,Wednesday's Child,52,False
Pulitzer,2024,nominee,Ed Park,1970,Same Bed Different Dreams,54,False
Pulitzer,2025,winner,Percival Everett,1956,James,69,False
Pulitzer,2025,nominee,Rita Bullwinkel,1988,Headshot,37,False
Pulitzer,2025,nominee,Stacey Levine,1959,Mice 1961,66,False
Pulitzer,2025,nominee,Gayl Jones,1949,The Unicorn Woman,76,False
